,inf,per1,per3,pred,right,equals
567,перечищать,перечищаю,перечищает,1,1,True
568,растасовывать,растасовываю,растасовывает,1,1,True
569,аффинировать,аффинирую,аффинирует,2,2,True
570,закреплять,закрепляю,закрепляет,1,1,True
571,истрепать,истреплю,истреплет,6,6,True
572,вырядиться,выряжусь,вырядится,4,4,True
573,защипываться,защипываюсь,защипывается,1,1,True
574,улепетнуть,улепетну,улепетнёт,3,3,True
575,перетаскиваться,перетаскиваюсь,перетаскивается,1,1,True
576,штурмовать,штурмую,штурмует,2,2,True
577,острагивать,острагиваю,острагивает,1,1,True
578,нормализовать,нормализую,нормализует,2,2,True
579,посерчать,посерчаю,посерчает,1,1,True
580,охолостить,охолощу,охолостит,4,4,True
581,шевельнуться,шевельнусь,шевельнётся,3,3,True
582,настоять,настою,настоит,5,5,True
583,уважать,уважаю,уважает,1,1,True
584,причудничать,причудничаю,причудничает,1,1,True
585,колесить,колешу,колесит,4,4,True
586,закалить,закалю,закалит,4,4,True
587,сорганизовать,сорганизую,сорганизует,2,2,True
588,нагнаивать,нагнаиваю,нагнаивает,1,1,True
589,заряжать,заряжаю,заряжает,1,1,True
590,взваливать,взваливаю,взваливает,1,1,True
591,дометать,дометаю,дометает,1,1,True
592,приделывать,приделываю,приделывает,1,1,True
593,нахлынуть,нахлыну,нахлынет,3,3,True
594,оскальпировать,оскальпирую,оскальпирует,2,2,True
595,помахаться,помашусь,помашется,1,6,False
596,изболеться,изболюсь,изболится,1,5,False
597,прососаться,прососусь,прососётся,6,6,True
598,твориться,творюсь,творится,4,4,True
599,эскарпировать,эскарпирую,эскарпирует,2,2,True
600,упеленать,упеленаю,упеленает,1,1,True
601,перемешиваться,перемешиваюсь,перемешивается,1,1,True
602,назваться,назовусь,назовётся,6,6,True
603,засеять,засею,засеет,6,6,True
604,растрачивать,растрачиваю,растрачивает,1,1,True
605,прибедниться,прибеднюсь,прибеднится,4,4,True
606,доломаться,доломаюсь,доломается,1,1,True
607,радировать,радирую,радирует,2,2,True
608,уточнить,уточню,уточнит,4,4,True
609,пикнуть,пикну,пикнет,3,3,True
610,копулировать,копулирую,копулирует,2,2,True
611,подписываться,подписываюсь,подписывается,1,1,True
612,отслоиться,отслоюсь,отслоится,4,4,True
613,переложить,переложу,переложит,4,4,True
614,вскинуться,вскинусь,вскинется,3,3,True
615,взбудоражиться,взбудоражусь,взбудоражится,4,4,True
616,перерасходовать,перерасходую,перерасходует,2,2,True
617,попривыкнуть,попривыкну,попривыкнет,3,3,True
